age,watch_time,days_since_login
0.4893617021276595,0.668,0.7586206896551725
0.5531914893617021,0.716,0.5517241379310344
0.6595744680851064,0.364,0.6551724137931033
0.3829787234042553,0.808,0.793103448275862
0.12765957446808507,0.488,0.10344827586206895
0.276595744680851,0.844,0.5517241379310344
0.17021276595744683,0.864,0.4482758620689654
0.08510638297872342,0.9520000000000001,0.4137931034482759
0.06382978723404253,0.792,0.7241379310344828
0.9999999999999999,0.388,0.10344827586206895
0.8085106382978723,0.02,0.7586206896551725
0.3829787234042553,0.928,0.7241379310344828
0.5319148936170213,0.752,0.5862068965517241
0.34042553191489355,0.532,0.10344827586206895
0.23404255319148937,0.04,0.06896551724137934
0.36170212765957444,0.184,0.48275862068965514
0.2978723404255319,0.684,0.9655172413793104
0.2978723404255319,0.648,0.0
0.0,0.892,0.4137931034482759
0.9574468085106383,0.44,0.9999999999999999
0.25531914893617025,0.768,0.7241379310344828
0.23404255319148937,0.216,0.6206896551724138
0.36170212765957444,0.47600000000000003,0.9655172413793104
0.5957446808510638,0.36,0.0
0.276595744680851,0.876,0.10344827586206895
0.2978723404255319,0.292,0.4137931034482759
0.6170212765957447,0.6,0.27586206896551724
0.9787234042553191,0.808,0.5517241379310344
0.4042553191489362,0.356,0.8275862068965517
0.1914893617021276,0.368,0.9655172413793104
0.04255319148936171,0.632,0.34482758620689646
0.5744680851063829,0.116,0.2068965517241379
0.5319148936170213,0.896,0.9310344827586207
0.8936170212765958,0.308,0.03448275862068961
0.6382978723404255,0.032,0.4137931034482759
0.9787234042553191,0.024,0.689655172413793
0.9999999999999999,0.5640000000000001,0.9655172413793104
0.10638297872340424,0.724,0.4482758620689654
0.8085106382978723,0.28800000000000003,0.9310344827586207
0.9361702127659574,0.048,0.7586206896551725
0.723404255319149,0.64,0.9999999999999999
0.6382978723404255,0.792,0.31034482758620685
0.6170212765957447,0.432,0.8275862068965517
0.04255319148936171,0.776,0.7586206896551725
0.0,0.592,0.9655172413793104
0.3191489361702128,0.376,0.5172413793103449
0.021276595744680826,0.8,0.5862068965517241
0.9574468085106383,0.808,0.2068965517241379
0.7446808510638298,0.624,0.8620689655172414
0.12765957446808507,0.988,0.2413793103448275
0.7446808510638298,0.38,0.4482758620689654
0.17021276595744683,0.792,0.5862068965517241
0.276595744680851,0.18,0.9310344827586207
0.6808510638297872,0.028,0.31034482758620685
0.8936170212765958,0.424,0.2413793103448275
0.4893617021276595,0.324,0.0
0.6382978723404255,0.23600000000000002,0.1724137931034483
0.8085106382978723,0.088,0.31034482758620685
0.8297872340425531,0.6960000000000001,0.7241379310344828
0.06382978723404253,0.876,0.13793103448275856
0.6808510638297872,0.92,0.3793103448275862
0.4893617021276595,0.84,0.4137931034482759
0.14893617021276595,0.964,0.9655172413793104
0.1914893617021276,0.596,0.13793103448275856
0.276595744680851,0.036000000000000004,0.0
0.7446808510638298,0.864,0.6551724137931033
0.06382978723404253,0.02,0.4137931034482759
0.34042553191489355,0.88,0.6206896551724138
0.2978723404255319,0.464,0.06896551724137934
0.04255319148936171,0.664,0.9655172413793104
0.46808510638297873,0.512,0.0
0.0,0.812,0.8275862068965517
0.851063829787234,0.20400000000000001,0.793103448275862
0.44680851063829785,0.436,0.13793103448275856
0.9999999999999999,0.704,0.10344827586206895
0.04255319148936171,0.17200000000000001,0.7241379310344828
0.7872340425531915,0.34400000000000003,0.8965517241379309
0.4042553191489362,0.676,0.5517241379310344
0.6170212765957447,0.41200000000000003,0.0
0.5319148936170213,0.084,0.7241379310344828
0.723404255319149,0.5760000000000001,0.5517241379310344
0.851063829787234,0.41200000000000003,0.5517241379310344
0.04255319148936171,0.968,0.689655172413793
0.9574468085106383,0.428,0.9655172413793104
0.17021276595744683,0.228,0.3793103448275862
0.17021276595744683,0.024,0.8275862068965517
0.4042553191489362,0.844,0.1724137931034483
0.5106382978723404,0.924,0.3793103448275862
0.42553191489361697,0.804,0.4137931034482759
0.9787234042553191,0.62,0.6551724137931033
0.276595744680851,0.644,0.27586206896551724
0.8723404255319148,0.16,0.689655172413793
0.9787234042553191,0.708,0.8620689655172414
0.723404255319149,0.8240000000000001,0.7586206896551725
0.6595744680851064,0.676,0.03448275862068961
0.5957446808510638,0.372,0.689655172413793
0.4893617021276595,0.712,0.5172413793103449
0.6808510638297872,0.5720000000000001,0.8965517241379309
0.5106382978723404,0.052000000000000005,0.8620689655172414
0.9787234042553191,0.188,0.8965517241379309
0.5531914893617021,0.188,0.8275862068965517
0.46808510638297873,0.41600000000000004,0.2413793103448275
0.3829787234042553,0.896,0.34482758620689646
0.7446808510638298,0.56,0.2068965517241379
0.2978723404255319,0.892,0.2068965517241379
0.36170212765957444,0.548,0.34482758620689646
0.5744680851063829,0.752,0.8965517241379309
0.021276595744680826,0.608,0.6551724137931033
0.3829787234042553,0.8240000000000001,0.5172413793103449
